Recording_ID,Latitude,Longitude,bout_duration_ms,num_syllables,num_syllable_per_bout_duration_1_ms,largest_syllable_duration_ms,smallest_syllable_duration_ms,avg_syllable_duration_ms,num_unique_syllables,num_syllables_per_num_unique,avg_sylls_upper_freq_Hz,avg_sylls_lower_freq_Hz,max_sylls_freq_Hz,min_sylls_freq_Hz,overall_sylls_freq_range_Hz,largest_sylls_freq_range_Hz,smallest_sylls_freq_range_Hz,avg_sylls_freq_range_Hz,Species,Source
15336,42.30605833,-76.48867268,1163.492063,12,0.010313779,306.984127,31.11111111,69.78835979,3,4,4788.961988,3259.502924,5888.596491,2621.929825,3309.649123,2364.035088,902.6315789,1572.44152,Pipilo erythrophthalmus,ML
15337,42.30652131,-76.48867268,1451.111111,10,0.006891271,281.5873016,25.71428571,97.84126984,3,3.333333333,5536.140351,2854.035088,6232.45614,1074.561404,5200.877193,4642.105263,1117.54386,2725.087719,Pipilo erythrophthalmus,ML
15338,42.48066313,-76.44987186,1503.174603,11,0.007317846,260.3174603,47.93650794,87.61904762,3,3.666666667,4880.46252,3630.063796,5200.877193,2450,2793.859649,2278.070175,1117.54386,1293.38118,Pipilo erythrophthalmus,ML
15339,42.48066313,-76.44987186,1171.111111,16,0.013662239,269.5238095,21.9047619,44.94047619,3,5.333333333,5179.385965,3145.778509,6060.526316,2192.105263,3911.403509,3008.77193,1117.54386,2076.589912,Pipilo erythrophthalmus,ML
15340,40.13248017,-75.42671435,1400.634921,11,0.007853581,287.3015873,54.28571429,96.56565657,3,3.666666667,7029.585327,3223.684211,8424.561404,2321.052632,6146.491228,4942.982456,558.7719298,3848.883573,Pipilo erythrophthalmus,ML
15341,32.4166667,-80.6666667,1198.412698,8,0.006675497,366.3492063,39.36507937,109.5238095,4,2,5259.97807,4255.263158,7521.929825,2321.052632,5243.859649,1633.333333,730.7017544,1047.697368,Pipilo erythrophthalmus,ML
15343,39.44314167,-82.46125431,1377.777778,13,0.009435484,263.8095238,37.77777778,80.58608059,3,4.333333333,6936.707152,3213.765182,7736.842105,1719.298246,6060.526316,5114.912281,515.7894737,3765.924426,Pipilo erythrophthalmus,ML
15347,40.37480765,-75.96331033,1021.269841,13,0.012729251,201.5873016,18.0952381,58.36385836,3,4.333333333,4847.098516,3838.663968,5501.754386,2750.877193,2793.859649,1117.54386,945.6140351,1051.417004,Pipilo erythrophthalmus,ML
15349,42.38899203,-76.6691157,976.8253968,8,0.008189795,229.8412698,53.96825397,90.91269841,3,2.666666667,6130.372807,3196.820175,6834.210526,2879.824561,3997.368421,3610.526316,687.7192982,2976.535088,Pipilo erythrophthalmus,ML
15351,32.46919804,-80.71049377,959.047619,15,0.015640516,110.1587302,9.206349206,34.58201058,6,2.5,3596.19883,2739.415205,5845.614035,1762.280702,4126.315789,3610.526316,343.8596491,899.7660819,Pipilo erythrophthalmus,ML
